Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
184.5,150.0311812,151.5496874,153.8906954,157.809894,162.17518,166.5515647,170.4997408,172.8667045,174.405526
185.5,150.0917784,151.610342,153.951329,157.8701998,162.2346979,166.6098562,170.5565599,172.9224777,174.4605545
186.5,150.1484074,151.6671193,154.0082162,157.9269542,162.2908474,166.6649274,170.6102627,172.9751838,174.5125428
187.5,150.2013879,151.7203255,154.0616446,157.9804176,162.343864,166.7169951,170.6610542,173.025023,174.5616886
188.5,150.2510113,151.7702407,154.1118775,158.0308292,162.3939652,166.7662599,170.7091243,173.0721808,174.6081757
189.5,150.2975443,151.8171212,154.1591564,158.0784088,162.4413513,166.8129074,170.7546494,173.1168298,174.6521747
190.5,150.3412298,151.8612008,154.2037023,158.1233583,162.4862071,166.8571093,170.7977929,173.1591301,174.6938442
191.5,150.3822898,151.9026934,154.2457175,158.1658633,162.5287029,166.8990246,170.8387064,173.1992303,174.7333314
192.5,150.4209266,151.9417942,154.2853872,158.2060942,162.5689958,166.9388003,170.8775306,173.2372685,174.7707732
193.5,150.4573249,151.9786817,154.3228809,158.2442076,162.6072309,166.9765723,170.914396,173.2733728,174.8062967
194.5,150.4916531,152.013519,154.3583538,158.2803474,162.6435418,167.0124668,170.9494236,173.3076624,174.8400201
195.5,150.524065,152.0464549,154.3919483,158.3146459,162.6780519,167.0466004,170.9827258,173.3402478,174.8720532
196.5,150.5547008,152.0776257,154.4237944,158.3472249,162.7108751,167.0790811,171.014407,173.3712319,174.902498
197.5,150.5836887,152.1071558,154.4540118,158.3781962,162.7421168,167.110009,171.0445641,173.4007102,174.9314494
198.5,150.6111457,152.1351593,154.4827098,158.407663,162.7718741,167.1394771,171.0732871,173.4287717,174.9589959
199.5,150.6371789,152.1617405,154.509989,158.4357202,162.8002371,167.1675715,171.1006598,173.455499,174.9852197
200.5,150.661886,152.1869949,154.5359417,158.4624554,162.8272889,167.1943721,171.1267599,173.4809691,175.0101973
201.5,150.6853568,152.2110102,154.5606528,158.4879492,162.8531067,167.2199532,171.1516601,173.5052538,175.034
202.5,150.7076733,152.2338667,154.5842002,158.5122763,162.8777619,167.244384,171.1754277,173.5284198,175.0566944
203.5,150.7289106,152.2556383,154.6066558,158.5355056,162.9013208,167.2677286,171.1981258,173.5505296,175.0783424
204.5,150.749138,152.2763929,154.6280858,158.5577008,162.9238449,167.2900467,171.2198128,173.5716411,175.099002
205.5,150.7684187,152.296193,154.6485512,158.578921,162.9453912,167.3113942,171.2405436,173.5918087,175.1187272
206.5,150.7868111,152.3150959,154.6681084,158.5992207,162.9660131,167.3318229,171.2603693,173.6110831,175.1375685
207.5,150.8043689,152.3331548,154.6868095,158.6186507,162.9857599,167.3513812,171.2793375,173.6295117,175.155573
208.5,150.8211416,152.3504187,154.7047027,158.6372582,163.0046776,167.3701145,171.2974929,173.6471389,175.1727851
209.5,150.8371748,152.3669327,154.7218327,158.6550869,163.0228094,167.388065,171.3148774,173.6640061,175.1892459
210.5,150.8525106,152.3827387,154.7382408,158.6721776,163.0401953,167.4052723,171.33153,173.6801522,175.2049944
211.5,150.8671882,152.3978755,154.7539655,158.6885682,163.0568727,167.4217734,171.3474874,173.6956138,175.2200667
212.5,150.8812435,152.412379,154.7690427,158.7042942,163.0728768,167.437603,171.362784,173.710425,175.2344971
213.5,150.8947102,152.4262827,154.7835054,158.7193886,163.0882404,167.4527938,171.3774521,173.7246179,175.2483174
214.5,150.9076191,152.4396177,154.7973849,158.7338824,163.1029943,167.4673763,171.3915221,173.7382228,175.2615577
215.5,150.9199994,152.4524128,154.81071,158.7478045,163.1171673,167.4813792,171.4050225,173.751268,175.2742464
216.5,150.9318778,152.464695,154.8235077,158.7611821,163.1307866,167.4948296,171.4179802,173.7637802,175.2864101
217.5,150.9432795,152.4764895,154.8358035,158.7740404,163.1438776,167.5077529,171.4304205,173.7757847,175.2980736
218.5,150.9542279,152.4878198,154.8476208,158.7864036,163.1564644,167.520173,171.4423671,173.787305,175.3092608
219.5,150.9647448,152.498708,154.8589821,158.798294,163.1685697,167.5321128,171.4538427,173.7983636,175.3199938
220.5,150.9748507,152.5091747,154.8699082,158.8097328,163.1802146,167.5435933,171.4648684,173.8089816,175.3302936
221.5,150.9845649,152.5192393,154.8804186,158.8207399,163.1914194,167.554635,171.4754644,173.8191789,175.3401801
222.5,150.9939053,152.52892,154.8905318,158.8313341,163.202203,167.5652567,171.4856495,173.8289744,175.349672
223.5,151.0028889,152.5382338,154.9002654,158.8415332,163.2125835,167.5754766,171.4954418,173.8383858,175.358787
224.5,151.0115315,152.5471971,154.9096356,158.851354,163.2225779,167.5853118,171.5048583,173.8474302,175.367542
225.5,151.0198482,152.5558248,154.9186579,158.8608124,163.2322024,167.5947785,171.5139151,173.8561235,175.3759527
226.5,151.0278532,152.5641315,154.9273472,158.8699234,163.2414722,167.6038921,171.5226274,173.8644808,175.3840343
227.5,151.0355596,152.5721307,154.9357171,158.8787012,163.2504019,167.6126671,171.5310098,173.8725166,175.391801
228.5,151.0429803,152.5798353,154.9437809,158.8871595,163.2590052,167.6211174,171.5390761,173.8802445,175.3992664
229.5,151.0501271,152.5872574,154.9515511,158.8953111,163.2672954,167.6292563,171.5468394,173.8876774,175.4064433
230.5,151.0570114,152.5944085,154.9590395,158.9031682,163.2752848,167.6370963,171.5543121,173.8948277,175.4133439
231.5,151.0636438,152.6012996,154.9662574,158.9107425,163.2829854,167.6446494,171.561506,173.9017071,175.4199799
232.5,151.0700346,152.6079412,154.9732154,158.918045,163.2904086,167.6519269,171.5684326,173.9083268,175.4263623
233.5,151.0761934,152.6143431,154.9799237,158.9250863,163.297565,167.6589397,171.5751024,173.9146973,175.4325015
234.5,151.0821295,152.6205147,154.9863922,158.9318765,163.304465,167.6656981,171.5815258,173.9208289,175.4384076
235.5,151.0878515,152.626465,154.9926299,158.9384252,163.3111185,167.6722121,171.5877126,173.9267311,175.4440902
236.5,151.0933679,152.6322026,154.9986458,158.9447416,163.3175349,167.678491,171.5936721,173.9324132,175.4495583
237.5,151.0986866,152.6377356,155.0044483,158.9508345,163.3237231,167.684544,171.5994132,173.9378839,175.4548206
238.5,151.1038152,152.6430718,155.0100454,158.9567122,163.3296918,167.6903797,171.6049444,173.9431517,175.4598853
239.5,151.1087609,152.6482187,155.0154449,158.9623829,163.3354491,167.6960062,171.6102738,173.9482244,175.4647604
240,151.1111674,152.6507234,155.0180729,158.9651429,163.338251,167.6987436,171.6128653,173.9506901,175.4671292
