Agemos,P3,P5,P10,P25,P50,P75,P90,P95,P97
139.5,133.5058853,135.1378458,137.6729811,141.9694138,146.8319513,151.7884983,156.3303034,159.085128,160.8889743
140.5,133.9198714,135.5588028,138.1050231,142.4209457,147.3065929,152.2878255,156.8532337,159.622826,161.4365245
141.5,134.34225,135.9884501,138.5461496,142.8820429,147.7910635,152.7969484,157.3856659,160.1697263,161.993032
142.5,134.773284,136.4271185,138.9967803,143.353228,148.2859294,153.3163996,157.9280318,160.7261679,162.5587616
143.5,135.2131887,136.8750919,139.4572873,143.8349727,148.7917006,153.8466466,158.4806894,161.2924091,163.133893
144.5,135.6621289,137.3326017,139.9279871,144.3276874,149.3088178,154.3880792,159.0439098,161.8686162,163.7185106
145.5,136.1202156,137.7998222,140.409134,144.8317108,149.8376391,154.9409947,159.6178646,162.4548526,164.3125939
146.5,136.5875035,138.2768661,140.9009122,145.3472981,150.3784267,155.505584,160.2026132,163.0510679,164.9160089
147.5,137.0639883,138.7637799,141.403429,145.8746111,150.9313331,156.0819181,160.7980913,163.657089,165.5285004
148.5,137.5496052,139.2605402,141.9167079,146.4137069,151.4963887,156.6699351,161.4041,164.2726114,166.1496863
149.5,138.0442266,139.7670498,142.4406823,146.9645285,152.0734897,157.2694285,162.0202967,164.897193,166.7790531
150.5,138.5476617,140.2831346,142.9751899,147.5268957,152.6623878,157.8800378,162.6461885,165.5302497,167.4159536
151.5,139.0596548,140.8085414,143.5199675,148.1004983,153.2626819,158.5012409,163.2811271,166.1710534,168.0596069
152.5,139.5798855,141.3429356,144.0746481,148.6848902,153.8738124,159.1323501,163.9243081,166.8187329,168.7091009
153.5,140.1079685,141.8859002,144.6387576,149.2794857,154.495058,159.7725112,164.5747721,167.4722776,169.3633976
154.5,140.6434536,142.4369354,145.2117144,149.8835591,155.1255365,160.4207062,165.2314109,168.1305444,170.0213408
155.5,141.1858268,142.9954591,145.7928297,150.4962462,155.7642086,161.0757603,165.892976,168.7922681,170.6816665
156.5,141.7345116,143.5608087,146.3813098,151.1165487,156.4098858,161.7363527,166.5580917,169.4560742,171.3430163
157.5,142.2888712,144.1322433,146.9762604,151.7433416,157.0612415,162.4010311,167.2252714,170.1204959,172.0039535
158.5,142.8482077,144.7089466,147.576693,152.3753859,157.7168289,163.0682321,167.8929368,170.7839909,172.662978
159.5,143.4117718,145.2900346,148.1815319,153.0113368,158.3750929,163.7362982,168.5594402,171.444966,173.3185527
160.5,143.9787585,145.8745579,148.7896253,153.6497654,159.034399,164.4035075,169.2230883,172.1017957,173.9691164
161.5,144.5483179,146.4615117,149.3997554,154.2891719,159.6930501,165.0680948,169.8821678,172.7528491,174.6131123
162.5,145.1195552,147.0498421,150.0106525,154.9280091,160.3493168,165.7282823,170.5349712,173.3965112,175.2490052
163.5,145.6915401,147.6384567,150.6210083,155.5647003,161.0014586,166.3823042,171.1798224,174.0312083,175.8753066
164.5,146.2633119,148.226234,151.2294913,156.1976616,161.6477515,167.0284338,171.8151013,174.6554295,176.490594
165.5,146.8338868,148.8120346,151.8347622,156.8253238,162.2865119,167.6650085,172.4392666,175.2677481,177.0935299
166.5,147.4022657,149.394712,152.4354895,157.4461523,162.9161202,168.2904522,173.0508762,175.8668393,177.6828795
167.5,147.9674393,149.9731226,153.0303654,158.0586697,163.535045,168.9032981,173.6486051,176.4514947,178.2575211
168.5,148.5284089,150.5461431,153.6181187,158.6614636,164.1418486,169.5021963,174.2312589,177.0206409,178.8164693
169.5,149.0841789,151.1126739,154.1975312,159.2532157,164.7352199,170.0859388,174.7977852,177.5733406,179.3588685
170.5,149.6337753,151.6716544,154.7674484,159.8327068,165.3139755,170.6534628,175.347281,178.1088034,179.8840066
171.5,150.1762526,152.2220718,155.3267913,160.3988301,165.8770715,171.2038574,175.8789961,178.6263873,180.3913154
172.5,150.7107013,152.7629701,155.874565,160.9505985,166.4236087,171.7363673,176.392334,179.1255987,180.8803698
173.5,151.2362566,153.2934582,156.4098665,161.4871507,166.9528354,172.2503918,176.8868489,179.6060885,181.3508837
174.5,151.7521046,153.8127163,156.9318906,162.0077536,167.4641466,172.7454817,177.3622413,180.0676464,181.8027041
175.5,152.2574887,154.3200013,157.4399327,162.5118031,167.9570814,173.2213335,177.8183499,180.5101936,182.2358034
176.5,152.7517151,154.814651,157.9333914,162.9988222,168.4313175,173.6777819,178.2551431,180.9337725,182.6502694
177.5,153.2341567,155.2960861,158.4117685,163.4684575,168.8866644,174.1147899,178.6727081,181.3385364,183.0462946
178.5,153.7042563,155.7638123,158.8746672,163.9204738,169.3230548,174.5324388,179.0712394,181.7247376,183.4241646
179.5,154.1615288,156.2174196,159.3217901,164.3547479,169.7405351,174.9309165,179.4510272,182.0927156,183.7842466
180.5,154.6055622,156.6565818,159.7529343,164.7712603,170.139255,175.310506,179.8124447,182.4428851,184.1269767
181.5,155.0360175,157.0810539,160.1679874,165.1700873,170.5194567,175.6715733,180.1559363,182.7757235,184.4528488
182.5,155.452628,157.4906696,160.5669211,165.5513919,170.881464,176.0145556,180.4820061,183.09176,184.7624031
183.5,155.8551976,157.8853369,160.9497852,165.9154147,171.2256717,176.3399504,180.791206,183.3915648,185.0562159
184.5,156.243598,158.2650343,161.3167006,166.2624644,171.5525345,176.648304,181.0841263,183.6757386,185.3348893
185.5,156.6177662,158.6298055,161.6678528,166.5929092,171.8625576,176.9402021,181.3613851,183.9449038,185.5990431
186.5,156.9777005,158.9797544,162.0034846,166.9071674,172.1562865,177.2162598,181.6236202,184.1996965,185.8493063
187.5,157.3234565,159.31504,162.3238889,167.2056993,172.4342983,177.4771134,181.871481,184.4407585,186.0863109
188.5,157.6551432,159.6358703,162.6294022,167.4889986,172.6971935,177.7234122,182.1056218,184.6687321,186.3106859
